 Adj_Close        Date
1   0.931620  10-12-2022
2   0.941685  10-13-2022
3   0.950278  10-14-2022
4   0.957104  10-15-2022
5   0.962179  10-16-2022
6   0.965698  10-17-2022
7   0.967960  10-18-2022
8   0.969291  10-19-2022
